time_sec,speed_mph,speed_kmh
284.0,55.2,88.83578880000002
285.0,54.5,87.709248
286.0,53.6,86.26083840000001
287.0,52.5,84.49056
288.0,51.5,82.88121600000001
289.0,51.5,82.88121600000001
290.0,51.5,82.88121600000001
291.0,51.1,82.23747840000001
292.0,50.1,80.62813440000001
293.0,50.0,80.4672
294.0,50.1,80.62813440000001
295.0,50.0,80.4672
296.0,49.6,79.82346240000001
297.0,49.5,79.66252800000001
298.0,49.5,79.66252800000001
299.0,49.5,79.66252800000001
300.0,49.1,79.01879040000001
301.0,48.6,78.2141184
302.0,48.1,77.40944640000001
303.0,47.2,75.96103680000002
304.0,46.1,74.1907584
305.0,45.0,72.42048
306.0,43.8,70.4892672
307.0,42.6,68.5580544
308.0,41.5,66.78777600000001
309.0,40.3,64.8565632
310.0,38.5,61.959744
311.0,37.0,59.545728000000004
312.0,35.2,56.64890880000001
313.0,33.8,54.3958272
314.0,32.5,52.30368
315.0,31.5,50.69433600000001
316.0,30.6,49.24592640000001
317.0,30.5,49.084992
318.0,30.0,48.28032
319.0,29.0,46.670976
320.0,27.5,44.25696000000001
321.0,24.8,39.911731200000006
322.0,21.5,34.600896000000006
323.0,20.1,32.347814400000004
324.0,19.1,30.738470400000004
325.0,18.5,29.772864000000002
326.0,17.0,27.358848000000002
327.0,15.5,24.944832
328.0,12.5,20.1168
329.0,10.8,17.380915200000004
330.0,8.0,12.874752
331.0,4.7,7.563916800000001
332.0,1.4,2.2530816
333.0,0.0,0.0
334.0,0.0,0.0
335.0,0.0,0.0
336.0,0.0,0.0
337.0,0.0,0.0
338.0,0.0,0.0
339.0,0.0,0.0
340.0,0.0,0.0
341.0,0.0,0.0
342.0,0.0,0.0
343.0,0.0,0.0
344.0,0.0,0.0
345.0,0.0,0.0
346.0,0.0,0.0
347.0,1.0,1.609344
348.0,4.3,6.9201792
349.0,7.6,12.2310144
350.0,10.9,17.541849600000003
351.0,14.2,22.8526848
352.0,17.3,27.841651200000005
353.0,20.0,32.18688
354.0,22.5,36.21024
355.0,23.7,38.1414528
356.0,25.2,40.5554688
357.0,26.6,42.80855040000001
358.0,28.1,45.222566400000005
359.0,30.0,48.28032
360.0,30.8,49.567795200000006
361.0,31.6,50.85527040000001
362.0,32.1,51.659942400000006
363.0,32.8,52.7864832
364.0,33.6,54.07395840000001
365.0,34.5,55.522368
366.0,34.6,55.68330240000001
367.0,34.9,56.1661056
368.0,34.8,56.0051712
